Accession_ID	Mol_Wt
P46089	35013.42573999999
P46093	40986.32034000001
O00155	38782.08343999997
O15354	67122.53133999997
Q49SQ1	38237.24084
Q9GZN0	40252.41344000004
Q14330	38137.67313999994
Q8N6U8	58565.87723999998
Q9UPC5	43865.45543999998
P32249	41229.54133999996
P35413	35456.851639999986
Q8BUD0	41109.18034000001
P0C5I1	38758.66343999996
Q9QY42	66784.12133999995
O88416	38451.25493999999
Q9EPB7	40246.69754000003
Q8K1Z6	37695.319039999944
B2RPY5	60310.50133999998
Q9R1K6	43178.51724
Q3U6B2	40189.19313999997
G3N0D0	35115.60163999999
Q1JQB3	41080.540340000014
A0A3Q1MCI3	39486.94934000001
Q0VD43	67338.73543999995
F1MNE7	39378.04314000001
E1BHN7	40097.313440000034
Q3T0E9	37952.23903999994
Q2YDN1	58355.61723999996
G5E640	42985.43954
Q1RMI1	41184.05953999995
G1MPF9	37864.01163999998
A0A7N5PAT7	38275.11754000008
A0A7N5KK79	39626.703439999976
D2HUB2	67302.72133999996
G1MN65	38552.091340000006
A0A7N5K2R3	40201.08344000003
G1MP70	37946.35313999994
A0A7N5KFK4	60545.14313999999
G1MMN0	43249.56134
D2H0B9	41272.23773999995
A0A384CD49	35138.52163999999
A0A452VGG0	37192.07034000004
A0A8M1GCE4	39460.413439999975
A0A384DBA7	67263.31723999995
A0A384DPE4	38550.037240000005
A0A8M1FHR8	40265.173440000035
A0A384BKX5	37954.38313999993
A0A384CHI8	60588.14313999999
A0A384DJK0	43190.44134000001
A0A384BLR4	40803.723639999946
A0A8C8X0F9	35016.39573999999
A0A8C8Y6S2	40987.19034000002
A0A8C8XQF4	38950.71343999997
A0A8C8WTY6	67516.46313999995
A0A8C8WBG0	26904.618040000005
A0A8C8XMY8	40193.063440000034
A0A8C8WAU7	38085.49903999994
A0A8C9D6S5	60614.65313999999
A0A8C8YA70	43368.34314000001
A0A8C8WA97	41379.571839999946
M3WD20	49733.882139999994
M3X0L1	41001.22034000002
A0A5F5Y653	38990.72343999997
A0A2I2UTY3	67304.49313999995
A0A5F5XF72	39066.444939999994
A0A337SNH1	40193.063440000034
M3X8S6	38025.449039999934
A0A2I2U9P3	60647.91903999999
A0A5F5XBZ1	43462.31314000001
A0A5F5XJU1	41433.63773999995
F1STP7	35214.90163999999
P50132	40977.85624000001
A0A287AYU9	38709.57933999998
A0A5G2R7J7	67393.70723999995
A0A4X1T5A5	39496.07314
A0A287ANR1	40079.97344000004
A0A286ZWE5	37819.89903999995
F1RPV0	60818.81313999998
I3LGG4	43033.32134000001
A0A8D0YE26	40761.073639999944
A0A452E7L2	35057.51164
A0A452DRU2	41045.45034000002
A0AAJ7P3A3	39440.68344
A0A452FEC9	67423.54953999995
A0A452DVD8	39367.94314
A0A452DPD7	40055.22344000003
A0A452FQA3	37956.277239999945
A0A452FHE0	59999.96543999997
A0A452DUG2	42327.24544
A0A452EDR4	40687.665439999946
A0A8I3NRR3	35034.30164
A0A8C0S0P7	41086.33034000002
A0A8C0PBD1	37216.90523999997
A0A8I3MRZ6	67073.51903999996
A0A8C0YXT4	38895.659039999984
A0A8C0NMB2	40080.25344000004
A0A8C0MFA6	37979.41313999994
A0A8I3MP90	64551.09543999996
A0A8P0PQD8	39821.27314
A0A8I3PIK0	40723.57953999995
