"ECprotCC : Exinction Co-efficient of protein while considering Cystine residues"						
"ABprotCC : Absorbance of protein while considering Cystine residues at 280nm"						
"ConcProtCC : Concentration of protein while considering Cystine residues where path length L=1cm"						
"ECprotC : Exinction Co-efficient of protein while considering Cysteine residues"						
"ABprotCC : Absorbance of protein while considering Cysteine residues at 280nm"						
"ConcProtC : Concentration of protein while considering Cysteine residues where path length L=1cm"						
"Accession_ID"	"ECprotCC(M^-1 cm^-1)"	"ABprotCC(mg/ml)"	"ConcProtCC(mol/ml)"	"ECprotC(M^-1 cm^-1)"	"ABprotC(mg/ml)"	"ConcProtC(mol/ml)"
"P46089"	58620	1.674	2.8563619734811E-05	59495	1.699	2.8563619734811E-05
"P46093"	77975	1.903	2.44011009997357E-05	78725	1.921	2.44011009997357E-05
"O00155"	63785	1.645	2.57874290483645E-05	64660	1.667	2.57874290483645E-05
"O15354"	86090	1.283	1.49000641877482E-05	87965	1.311	1.49000641877482E-05
"Q49SQ1"	59150	1.547	2.61561181837249E-05	59525	1.557	2.61561181837249E-05
"Q9GZN0"	69035	1.715	2.48471516039394E-05	69660	1.731	2.48471516039394E-05
"Q14330"	53455	1.402	2.62235141445088E-05	54080	1.418	2.62235141445088E-05
"Q8N6U8"	97705	1.668	1.70768057347296E-05	98580	1.683	1.70768057347296E-05
"Q9UPC5"	53455	1.219	2.27997994385547E-05	54080	1.233	2.27997994385547E-05
"P32249"	38235	0.927	2.4257700748525E-05	39235	0.952	2.4257700748525E-05
"P35413"	58620	1.653	2.82063801171033E-05	59495	1.678	2.82063801171033E-05
"Q8BUD0"	72600	1.766	2.43280047135334E-05	73350	1.784	2.43280047135334E-05
"P0C5I1"	82555	2.13	2.58035258326815E-05	83305	2.15	2.58035258326815E-05
"Q9QY42"	80590	1.207	1.4975617843165E-05	82340	1.233	1.4975617843165E-05
"O88416"	57660	1.5	2.60103236576833E-05	58035	1.51	2.60103236576833E-05
"Q9EPB7"	69035	1.716	2.48508554538203E-05	69660	1.731	2.48508554538203E-05
"Q8K1Z6"	51840	1.375	2.65314727244505E-05	52465	1.392	2.65314727244505E-05
"B2RPY5"	99070	1.643	1.65829430520274E-05	99945	1.657	1.65829430520274E-05
"Q9R1K6"	53455	1.238	2.31625489589635E-05	54205	1.256	2.31625489589635E-05
"Q3U6B2"	39850	0.992	2.48850355899956E-05	40850	1.017	2.48850355899956E-05
"G3N0D0"	58620	1.67	2.84805243199819E-05	59495	1.694	2.84805243199819E-05
"Q1JQB3"	66975	1.631	2.43450135155895E-05	67725	1.649	2.43450135155895E-05
"A0A3Q1MCI3"	56670	1.435	2.53274326439825E-05	57545	1.457	2.53274326439825E-05
"Q0VD43"	83570	1.241	1.48522725233612E-05	85445	1.269	1.48522725233612E-05
"F1MNE7"	60640	1.54	2.53972182458348E-05	61015	1.55	2.53972182458348E-05
"E1BHN7"	69035	1.722	2.49432860514123E-05	69660	1.738	2.49432860514123E-05
"Q3T0E9"	53455	1.409	2.63514683632661E-05	54080	1.425	2.63514683632661E-05
"Q2YDN1"	97580	1.672	1.71383433125902E-05	98455	1.687	1.71383433125902E-05
"G5E640"	54945	1.278	2.32665863071969E-05	55695	1.296	2.32665863071969E-05
"Q1RMI1"	38360	0.932	2.42841605962207E-05	39360	0.956	2.42841605962207E-05
"G1MPF9"	58620	1.548	2.64132871445097E-05	59495	1.571	2.64132871445097E-05
"A0A7N5PAT7"	114775	2.999	2.61287759639354E-05	115775	3.025	2.61287759639354E-05
"A0A7N5KK79"	63785	1.61	2.52374610757401E-05	64660	1.632	2.52374610757401E-05
"D2HUB2"	83570	1.242	1.48602300908335E-05	85445	1.27	1.48602300908335E-05
"G1MN65"	53775	1.395	2.59419325421998E-05	54150	1.405	2.59419325421998E-05
"A0A7N5K2R3"	69035	1.718	2.48787093012391E-05	69660	1.733	2.48787093012391E-05
"G1MP70"	51840	1.366	2.63557398926138E-05	52465	1.383	2.63557398926138E-05
"A0A7N5KFK4"	97705	1.614	1.65185258180918E-05	98580	1.628	1.65185258180918E-05
"G1MMN0"	53455	1.236	2.31244997927887E-05	54080	1.251	2.31244997927887E-05
"D2H0B9"	39725	0.963	2.42324092725863E-05	40725	0.987	2.42324092725863E-05
"A0A384CD49"	58620	1.668	2.84619268052632E-05	59495	1.693	2.84619268052632E-05
"A0A452VGG0"	63995	1.721	2.68900111265327E-05	64620	1.738	2.68900111265327E-05
"A0A8M1GCE4"	63785	1.617	2.53438052936571E-05	64660	1.639	2.53438052936571E-05
"A0A384DBA7"	89070	1.324	1.48688740449701E-05	90945	1.352	1.48688740449701E-05
"A0A384DPE4"	53775	1.395	2.59433203764678E-05	54150	1.405	2.59433203764678E-05
"A0A8M1FHR8"	69035	1.715	2.48391040576499E-05	69660	1.73	2.48391040576499E-05
"A0A384BKX5"	51840	1.366	2.63501662195099E-05	52465	1.382	2.63501662195099E-05
"A0A384CHI8"	99070	1.635	1.65067984502284E-05	99945	1.65	1.65067984502284E-05
"A0A384DJK0"	53455	1.238	2.3156150988973E-05	54080	1.252	2.3156150988973E-05
"A0A384BLR4"	39725	0.974	2.45106803946634E-05	40725	0.998	2.45106803946634E-05
"A0A8C8X0F9"	58620	1.674	2.85612022411265E-05	59495	1.699	2.85612022411265E-05
"A0A8C8Y6S2"	77975	1.903	2.44004229614213E-05	78725	1.921	2.44004229614213E-05
"A0A8C8XQF4"	63910	1.641	2.56754269342213E-05	64910	1.667	2.56754269342213E-05
"A0A8C8WTY6"	78070	1.156	1.48130692339582E-05	79945	1.184	1.48130692339582E-05
"A0A8C8WBG0"	57660	2.143	3.71725316860184E-05	58035	2.157	3.71725316860184E-05
"A0A8C8XMY8"	69035	1.718	2.48836725385495E-05	69660	1.733	2.48836725385495E-05
"A0A8C8WAU7"	53330	1.4	2.625944421108E-05	53955	1.417	2.625944421108E-05
"A0A8C9D6S5"	99070	1.635	1.64994286394707E-05	99945	1.649	1.64994286394707E-05
"A0A8C8YA70"	55975	1.291	2.30609974678301E-05	56600	1.305	2.30609974678301E-05
"A0A8C8WA97"	38235	0.924	2.41697025351855E-05	39235	0.948	2.41697025351855E-05
"M3WD20"	107215	2.156	2.01092165576038E-05	108215	2.176	2.01092165576038E-05
"M3X0L1"	77975	1.902	2.4392074533582E-05	78725	1.92	2.4392074533582E-05
"A0A5F5Y653"	63910	1.639	2.56490711364327E-05	64910	1.665	2.56490711364327E-05
"A0A2I2UTY3"	78070	1.16	1.48597890251972E-05	79945	1.188	1.48597890251972E-05
"A0A5F5XF72"	60640	1.552	2.56001976974243E-05	61015	1.562	2.56001976974243E-05
"A0A337SNH1"	69035	1.718	2.48836725385495E-05	69660	1.733	2.48836725385495E-05
"M3X8S6"	51840	1.363	2.63009211200122E-05	52465	1.38	2.63009211200122E-05
"A0A2I2U9P3"	99070	1.634	1.64904535443547E-05	99945	1.648	1.64904535443547E-05
"A0A5F5XBZ1"	58955	1.357	2.30111255036394E-05	59580	1.371	2.30111255036394E-05
"A0A5F5XJU1"	38235	0.923	2.41381683393127E-05	39235	0.947	2.41381683393127E-05
"F1STP7"	58620	1.665	2.84004131789807E-05	59495	1.69	2.84004131789807E-05
"P50132"	77975	1.903	2.44058251526699E-05	78725	1.921	2.44058251526699E-05
"A0A287AYU9"	62295	1.609	2.58355504834376E-05	63295	1.635	2.58355504834376E-05
"A0A5G2R7J7"	87455	1.298	1.48401598423288E-05	89205	1.324	1.48401598423288E-05
"A0A4X1T5A5"	65110	1.649	2.5321868909179E-05	65485	1.658	2.5321868909179E-05
"A0A287ANR1"	69035	1.723	2.4953900264467E-05	69660	1.738	2.4953900264467E-05
"A0A286ZWE5"	50475	1.335	2.64436697103847E-05	51100	1.351	2.64436697103847E-05
"F1RPV0"	99070	1.629	1.64442645823406E-05	99945	1.644	1.64442645823406E-05
"I3LGG4"	51965	1.208	2.32406909440312E-05	52715	1.225	2.32406909440312E-05
"A0A8D0YE26"	38360	0.941	2.45364860029957E-05	39485	0.969	2.45364860029957E-05
"A0A452E7L2"	58620	1.672	2.85277134043744E-05	59495	1.697	2.85277134043744E-05
"A0A452DRU2"	66975	1.632	2.43658215996763E-05	67725	1.65	2.43658215996763E-05
"A0AAJ7P3A3"	62170	1.576	2.53569644804971E-05	63045	1.599	2.53569644804971E-05
"A0A452FEC9"	85060	1.262	1.48335234831337E-05	86935	1.29	1.48335234831337E-05
"A0A452DVD8"	62130	1.578	2.5403725119537E-05	62505	1.588	2.5403725119537E-05
"A0A452DPD7"	69035	1.724	2.49694947433026E-05	69660	1.739	2.49694947433026E-05
"A0A452FQA3"	54945	1.448	2.63486519006306E-05	55570	1.464	2.63486519006306E-05
"A0A452FHE0"	96215	1.604	1.66686937631839E-05	97090	1.618	1.66686937631839E-05
"A0A452DUG2"	57925	1.369	2.36282455803613E-05	58550	1.383	2.36282455803613E-05
"A0A452EDR4"	38360	0.943	2.45806056812853E-05	39360	0.967	2.45806056812853E-05
"A0A8I3NRR3"	58620	1.673	2.85465967514685E-05	59495	1.698	2.85465967514685E-05
"A0A8C0S0P7"	77975	1.898	2.43415437521063E-05	78725	1.916	2.43415437521063E-05
"A0A8C0PBD1"	61835	1.662	2.6871645484518E-05	62710	1.685	2.6871645484518E-05
"A0A8I3MRZ6"	89070	1.328	1.49108249228637E-05	90945	1.356	1.49108249228637E-05
"A0A8C0YXT4"	55140	1.418	2.57128084576063E-05	55515	1.427	2.57128084576063E-05
"A0A8C0NMB2"	69035	1.723	2.49538845102394E-05	69660	1.738	2.49538845102394E-05
"A0A8C0MFA6"	51840	1.365	2.63328041101538E-05	52465	1.382	2.63328041101538E-05
"A0A8I3MP90"	100685	1.56	1.54936672660963E-05	101560	1.574	1.54936672660963E-05
"A0A8P0PQD8"	47955	1.204	2.51153259728179E-05	48580	1.22	2.51153259728179E-05
"A0A8I3PIK0"	39725	0.976	2.45589186649563E-05	40725	1	2.45589186649563E-05
"Table.207: Extinction co-efficient values of protein sequences of GPCR dataset for both the consideration"						
