Accession_ID	Instability_Index	Stability
P46089	38.4706060606061	Stable
P46093	32.9069060773481	Stable
O00155	51.5997229916898	Unstable
O15354	50.6636215334422	Unstable
Q49SQ1	31.7459459459459	Stable
Q9GZN0	42.36953125	Unstable
Q14330	40.9036253776435	Unstable
Q8N6U8	43.9739130434783	Unstable
Q9UPC5	45.7753280839895	Unstable
P32249	37.5221606648199	Stable
P35413	37.9436363636364	Stable
Q8BUD0	37.0602739726027	Stable
P0C5I1	46.2298882681564	Unstable
Q9QY42	55.1390000000002	Unstable
O88416	32.7342182890855	Stable
Q9EPB7	46.8309895833333	Unstable
Q8K1Z6	45.019335347432	Unstable
B2RPY5	40.3746788990826	Unstable
Q9R1K6	50.3976	Unstable
Q3U6B2	41.8296918767507	Unstable
G3N0D0	40.9724242424242	Unstable
Q1JQB3	35.2080110497237	Stable
A0A3Q1MCI3	56.4302139037434	Unstable
Q0VD43	50.3737357259381	Unstable
F1MNE7	32.9947058823529	Stable
E1BHN7	42.9725848563969	Unstable
Q3T0E9	38.0144578313253	Stable
Q2YDN1	36.1814393939394	Stable
G5E640	45.5688829787234	Unstable
Q1RMI1	40.0683333333333	Unstable
G1MPF9	42.4565826330532	Unstable
A0A7N5PAT7	55.4188235294118	Unstable
A0A7N5KK79	52.3323369565217	Unstable
D2HUB2	52.9213355048861	Unstable
G1MN65	35.6675516224189	Stable
A0A7N5K2R3	43.1671875	Unstable
G1MP70	38.7117824773414	Stable
A0A7N5KFK4	44.6269581056466	Unstable
G1MMN0	45.337400530504	Unstable
D2H0B9	40.07783933518	Unstable
A0A384CD49	36.6951515151515	Stable
A0A452VGG0	35.9504559270517	Stable
A0A8M1GCE4	51.2222826086956	Unstable
A0A384DBA7	51.0848534201955	Unstable
A0A384DPE4	32.2383480825959	Stable
A0A8M1FHR8	43.59375	Unstable
A0A384BKX5	38.1299093655589	Stable
A0A384CHI8	42.6502732240437	Unstable
A0A384DJK0	46.3649867374005	Unstable
A0A384BLR4	39.4470588235294	Stable
A0A8C8X0F9	36.9530303030303	Stable
A0A8C8Y6S2	34.5411602209945	Stable
A0A8C8XQF4	48.4877384196185	Unstable
A0A8C8WTY6	53.6022838499186	Unstable
A0A8C8WBG0	26.4124463519313	Stable
A0A8C8XMY8	42.87109375	Unstable
A0A8C8WAU7	36.2335347432024	Stable
A0A8C9D6S5	44.1411657559199	Unstable
A0A8C8YA70	43.1226315789474	Unstable
A0A8C8WA97	41.3154696132597	Unstable
M3WD20	39.590021691974	Stable
M3X0L1	35.65	Stable
A0A5F5Y653	50.4476839237057	Unstable
A0A2I2UTY3	51.2791190864601	Unstable
A0A5F5XF72	37.7171091445428	Stable
A0A337SNH1	42.87109375	Unstable
M3X8S6	36.2335347432024	Stable
A0A2I2U9P3	44.6466302367942	Unstable
A0A5F5XBZ1	43.0060526315789	Unstable
A0A5F5XJU1	42.3795580110497	Unstable
F1STP7	44.1418181818182	Unstable
P50132	34.6168044077135	Stable
A0A287AYU9	53.593698630137	Unstable
A0A5G2R7J7	51.0315960912053	Unstable
A0A4X1T5A5	34.0447058823529	Stable
A0A287ANR1	44.0446475195822	Unstable
A0A286ZWE5	36.1141993957704	Stable
F1RPV0	41.1693989071038	Unstable
I3LGG4	45.8888888888889	Unstable
A0A8D0YE26	42.4443820224719	Unstable
A0A452E7L2	40.37	Unstable
A0A452DRU2	35.3406077348066	Stable
A0AAJ7P3A3	57.3101604278075	Unstable
A0A452FEC9	51.3473941368079	Unstable
A0A452DVD8	35.5229411764706	Stable
A0A452DPD7	42.9725848563969	Unstable
A0A452FQA3	35.8660606060606	Stable
A0A452FHE0	35.7618081180812	Stable
A0A452DUG2	45.3035230352304	Unstable
A0A452EDR4	39.9407303370786	Stable
A0A8I3NRR3	36.4378787878788	Stable
A0A8C0S0P7	34.4735537190083	Stable
A0A8C0PBD1	52.1436974789916	Unstable
A0A8I3MRZ6	53.1420880913541	Unstable
A0A8C0YXT4	38.5979351032448	Stable
A0A8C0NMB2	45.340625	Unstable
A0A8C0MFA6	38.0135951661632	Stable
A0A8I3MP90	44.7609589041096	Unstable
A0A8P0PQD8	50.6469565217391	Unstable
A0A8I3PIK0	42.047191011236	Unstable	
